,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_PAY
0,28001,30000.0,2,2,1,29,1,2,2,2,0,0,27371.0,26632.0,29703.0,28700.0,28300.0,25520.0,0.0,3500.0,0.0,0.0,1000.0,0.0,1
1,28002,150000.0,2,1,2,29,0,0,0,0,0,0,145138.0,140210.0,136196.0,105989.0,98836.0,94504.0,5200.0,7982.0,4500.0,4048.0,3800.0,3818.0,0
2,28003,230000.0,2,1,2,29,2,-1,-1,-1,-1,-1,711.0,711.0,711.0,711.0,711.0,291.0,711.0,711.0,711.0,711.0,291.0,1131.0,0
3,28004,510000.0,2,1,2,30,-1,-1,-1,-1,0,0,71121.0,481382.0,559712.0,163628.0,117475.0,116656.0,493358.0,1227082.0,164577.0,510.0,6239.0,4550.0,0
4,28005,20000.0,2,2,2,30,1,2,0,0,0,0,20128.0,17842.0,18979.0,7886.0,19786.0,20025.0,0.0,7027.0,1000.0,19000.0,6000.0,1000.0,0
5,28006,150000.0,2,1,2,27,0,0,0,0,0,0,51032.0,69242.0,65366.0,62283.0,60942.0,55878.0,30000.0,20142.0,3759.0,7022.0,20000.0,10000.0,0
6,28007,110000.0,2,2,2,24,0,0,0,0,0,0,6217.0,7947.0,9649.0,11472.0,13267.0,15048.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0
7,28008,250000.0,2,2,1,25,0,0,0,0,0,0,24920.0,26456.0,24196.0,22408.0,20610.0,17978.0,2000.0,1790.0,1250.0,700.0,644.0,1000.0,0
8,28009,240000.0,2,1,3,29,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,28010,150000.0,2,1,2,28,-1,-1,-2,-2,-2,-2,3470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,28011,420000.0,2,2,2,29,0,0,0,0,0,0,267050.0,272606.0,278407.0,284777.0,301438.0,308571.0,10000.0,10200.0,11000.0,21500.0,12000.0,15000.0,0
11,28012,170000.0,2,5,2,30,0,0,0,0,0,0,66805.0,51351.0,38816.0,32475.0,24606.0,21988.0,5148.0,3000.0,1978.0,4700.0,1000.0,2000.0,0
12,28013,220000.0,2,1,2,28,-1,0,-1,0,-1,-1,6601.0,8312.0,2102.0,4707.0,7216.0,6565.0,5026.0,2102.0,4000.0,7216.0,6565.0,4757.0,0
13,28014,160000.0,2,2,2,28,-2,-2,-2,-2,-2,-2,2191.0,645.0,2102.0,5477.0,2258.0,1849.0,645.0,2118.0,5477.0,2276.0,1851.0,5543.0,0
14,28015,150000.0,2,2,1,28,0,-1,-1,-1,0,0,5527.0,614.0,12515.0,10749.0,7549.0,5749.0,1000.0,13000.0,12006.0,7000.0,0.0,0.0,0
15,28016,150000.0,2,2,2,29,1,2,2,2,0,0,4577.0,4356.0,6643.0,2831.0,1745.0,3212.0,0.0,2400.0,0.0,1500.0,1500.0,1000.0,1
16,28017,140000.0,2,2,1,27,-2,-2,-2,-2,-2,-2,444.0,0.0,1650.0,0.0,2226.0,0.0,0.0,1650.0,0.0,2226.0,0.0,656.0,0
17,28018,240000.0,2,2,2,27,0,-1,0,-1,0,-1,30589.0,2225.0,3708.0,20694.0,19771.0,38603.0,2239.0,3700.0,20739.0,10003.0,40115.0,8756.0,0
18,28019,20000.0,2,2,2,28,0,0,2,0,0,0,2937.0,5696.0,4144.0,8168.0,6894.0,11424.0,3353.0,3.0,5101.0,6.0,6530.0,8103.0,0
19,28020,30000.0,2,2,2,29,2,0,0,0,-2,-2,28541.0,16436.0,18146.0,0.0,0.0,0.0,1385.0,5000.0,0.0,0.0,0.0,0.0,1
20,28021,80000.0,2,2,1,29,2,0,0,0,0,0,80100.0,79368.0,81130.0,49407.0,49067.0,50234.0,3500.0,3700.0,1800.0,1900.0,3000.0,2000.0,1
21,28022,400000.0,2,1,2,29,-1,-1,0,0,0,0,5567.0,13011.0,22396.0,26359.0,41627.0,16709.0,13011.0,10001.0,5023.0,20150.0,5082.0,4134.0,0
22,28023,150000.0,2,2,2,27,0,0,0,0,0,0,88957.0,92548.0,82169.0,67958.0,69310.0,70819.0,5500.0,2730.0,2468.0,2483.0,2628.0,10000.0,0
23,28024,180000.0,2,2,1,32,0,0,0,0,0,0,95917.0,85902.0,77013.0,69551.0,62960.0,59487.0,2986.0,3000.0,2367.0,3000.0,3554.0,5495.0,0
24,28025,360000.0,2,3,1,32,0,0,0,0,0,0,227689.0,206249.0,182985.0,186047.0,188389.0,191907.0,7142.0,8200.0,7600.0,6200.0,6000.0,7000.0,0
25,28026,160000.0,2,1,1,30,-1,-1,-1,0,-1,-1,960.0,3597.0,3633.0,2707.0,6087.0,4852.0,3597.0,3633.0,2702.0,6087.0,4852.0,9425.0,0
26,28027,80000.0,2,2,2,30,0,0,2,0,0,0,80681.0,84064.0,79988.0,79291.0,53876.0,49513.0,6900.0,0.0,4382.0,1822.0,2000.0,2000.0,0
27,28028,240000.0,2,2,1,32,1,-2,-2,-1,-1,-1,0.0,0.0,0.0,262.0,0.0,1389.0,0.0,0.0,262.0,0.0,1389.0,0.0,0
28,28029,50000.0,2,2,1,33,0,0,0,-1,0,0,34485.0,28251.0,7114.0,28042.0,28479.0,29066.0,1815.0,1700.0,30042.0,1200.0,1200.0,1300.0,0
29,28030,50000.0,2,2,1,34,-2,-1,0,0,0,0,50680.0,50655.0,50710.0,50503.0,40140.0,-21364.0,50702.0,2033.0,1776.0,2000.0,29000.0,59901.0,0
30,28031,50000.0,2,3,1,29,0,0,0,0,0,0,47194.0,48381.0,46777.0,39420.0,8824.0,9009.0,2002.0,2000.0,1530.0,1000.0,327.0,329.0,0
31,28032,200000.0,2,2,1,30,-2,-2,-2,-2,-2,-2,42488.0,0.0,0.0,0.0,7637.0,21186.0,0.0,0.0,0.0,7637.0,21186.0,0.0,0
32,28033,50000.0,2,1,2,29,2,0,0,2,0,0,50461.0,48340.0,51113.0,48114.0,19400.0,19240.0,2100.0,4900.0,0.0,3000.0,2500.0,1000.0,1
33,28034,140000.0,2,1,2,30,0,0,2,0,0,2,78095.0,84781.0,82558.0,80376.0,85281.0,84688.0,8000.0,0.0,3500.0,5900.0,0.0,3000.0,0
34,28035,310000.0,2,1,2,29,0,-1,0,-1,-1,-1,8454.0,14570.0,21897.0,4316.0,771.0,2888.0,14581.0,11139.0,15347.0,793.0,7390.0,1436.0,0
35,28036,430000.0,2,3,2,30,0,0,0,0,0,0,308741.0,304476.0,277823.0,251443.0,236975.0,203526.0,12000.0,11000.0,11000.0,10000.0,8000.0,8000.0,0
36,28037,100000.0,2,1,2,30,0,0,0,0,0,0,89242.0,91067.0,93409.0,95056.0,75688.0,77330.0,4200.0,4700.0,4500.0,3000.0,2900.0,2901.0,0
37,28038,500000.0,2,1,2,29,0,0,0,0,-1,-1,28555.0,33055.0,42392.0,36641.0,12149.0,426518.0,5000.0,10000.0,5132.0,12159.0,426529.0,20016.0,0
38,28039,200000.0,2,2,2,29,0,0,0,0,0,0,204134.0,194949.0,153646.0,137087.0,134995.0,135953.0,8000.0,5542.0,5308.0,4587.0,4750.0,4935.0,0
39,28040,140000.0,2,1,2,29,0,0,2,0,0,0,135436.0,144922.0,141289.0,137377.0,93261.0,95368.0,13102.0,17.0,5547.0,3242.0,3512.0,3333.0,0
40,28041,200000.0,2,2,1,30,-2,-1,2,-1,-1,-2,0.0,1541.0,811.0,2754.0,17557.0,1144.0,1541.0,4.0,3071.0,17557.0,1144.0,1252.0,0
41,28042,200000.0,2,1,2,28,-2,-1,0,0,0,0,466.0,161746.0,153377.0,134027.0,135120.0,136512.0,161844.0,5228.0,5005.0,5004.0,5151.0,5253.0,0
42,28043,100000.0,2,1,2,28,0,0,0,2,0,0,10886.0,11697.0,14479.0,10775.0,10998.0,12655.0,1300.0,3005.0,0.0,700.0,2000.0,1500.0,0
43,28044,180000.0,2,4,1,28,2,0,0,0,0,0,117328.0,115140.0,73730.0,64600.0,2500.0,0.0,4117.0,3504.0,3000.0,0.0,0.0,0.0,1
44,28045,190000.0,2,1,2,28,0,0,0,0,0,0,141693.0,143464.0,146943.0,151905.0,153538.0,156664.0,5618.0,5795.0,7408.0,5645.0,5753.0,6370.0,0
45,28046,50000.0,2,1,2,28,0,0,0,0,0,0,48782.0,47708.0,49846.0,49303.0,29722.0,29624.0,2100.0,3600.0,2146.0,1004.0,1100.0,1294.0,0
46,28047,440000.0,2,1,1,31,0,-1,-1,-1,-1,-2,232526.0,1025.0,0.0,26549.0,0.0,1000.0,1025.0,0.0,26549.0,0.0,1000.0,150.0,0
47,28048,30000.0,2,2,1,30,-1,2,-1,-1,-1,-1,4994.0,886.0,937.0,0.0,1083.0,3395.0,0.0,1000.0,398.0,1083.0,3395.0,7383.0,0
48,28049,180000.0,2,2,2,29,-1,-1,-2,-2,-2,-2,4184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
49,28050,150000.0,2,1,2,29,-2,-2,-2,-2,-2,-1,0.0,5067.0,131.0,987.0,0.0,14001.0,5067.0,131.0,987.0,400.0,14001.0,0.0,0
50,28051,390000.0,2,1,2,29,0,0,0,0,0,0,89953.0,107947.0,60313.0,55769.0,65835.0,72177.0,25000.0,35127.0,20000.0,12000.0,7500.0,15000.0,0
51,28052,30000.0,2,2,1,31,0,0,0,0,0,0,16207.0,16735.0,18253.0,19646.0,21238.0,23843.0,4000.0,5000.0,5000.0,5000.0,5000.0,5006.0,0
52,28053,10000.0,2,2,2,32,-1,-1,0,0,0,0,77.0,7417.0,8459.0,9493.0,9678.0,9634.0,7417.0,1166.0,1200.0,300.0,1000.0,500.0,0
53,28054,270000.0,2,2,2,32,0,0,0,0,0,0,59710.0,49986.0,104390.0,94856.0,86461.0,83650.0,1808.0,69563.0,2891.0,2689.0,3012.0,2771.0,0
